,0,1,2,3,4
574,benar jujur online tidak_masuk materi tapi waktu offline kemarin kejut banget teman kelas omong bnr kasar mereka santai padahal guru teriak anjing anjing tidak_cewek cowo maksud kalau memang mau kasar tempat tidak_ sekolah waktu guru,negatif,"@LMJM08 @schfess Bener plss, jujur online ga masuk materi nya tp pas offline kmrn aku kaget bgt tmn sekelasku omongan nya bnr² pada kasar. Kek mereka dengan santai nya pdhl ada guru, teriak 'anjg/bgst' engga cewe/cowo. Maksudku kl emng mau sekasar itu tempatnya bukan di sekolah aplg pas ada guru",2022-02-02 07:46:11+00:00,atuyokktsu
575,lucu banget kecil pakai backpack kaya mau sekolah offline,netral,Lucu bgttt kecil pake backpack kaya mau sekolah offline 😭😭https://t.co/4OK22D7iJG,2022-02-02 07:12:51+00:00,jaebirr_
576,punya baru dipake satu kali soal diem rumah muluk adik awet sudah dipake semenjak sekolah offline beberapa bulan lalu beli waktu mau lebaran tahun lalu,netral,"@Askrlfess Punyaaaa. Baru dipake satu kali soalnya diem di rumah muluk :( Yang Adikku awet sih, udah dipake semenjak sekolah offline beberapa bulan lalu. Beli waktu mau lebaran tahun lalu.",2022-02-02 07:06:07+00:00,larisampaisubuh
577,sama nya sekolah adik mana full offline semua kelas tau sekarang banyak kurang sehat ada teman adik ada beberapa positif sekolah diem saja dan jalan biasa,negatif,"Sama hal nya sekolah adik aku. Mana udah full offline semua kelas. Taunya skrng udah banyak yang kurang sehat, sampe ada temen adik aku aja udah ada beberapa yang positif tapi sekolahnya diem"" aja dan berjalan biasa.",2022-02-02 06:59:57+00:00,apradzk_
578,halo enak sekolah offline,positif,@avocadobyy Halooooo enak bisa sekolah offline,2022-02-02 06:58:01+00:00,Sxl_Sun
579,begini kasus bahkan sekolah adik yang sekolah dasar offline dapat makan siang maksud makan buka masker kan puncak waktu pulang sekolah dah asa tawur,negatif,gini kasusnya malah sekolah adek gue yg sd itu offline. DAN DPT MAKAN SIANG JG I MEAN MEREKA MAKAN SAMBIL BUKA MASKER KAN?! puncaknya nih waktu pulang sekolah dahlah berasa tawuran,2022-02-02 06:54:34+00:00,karaleiva
580,sekolah offline nyata tidak_se asik saya pikir banyak kubu kubu banyak cuma mau ngobrol sama cantik ganteng,negatif,"@schfess sekolah offline 100% ternyata ga se asik yang aku pikirin, banyak yg kubu kubuan, banyak yg cuma mau ngobrol sama si cantik dan ganteng doang",2022-02-02 06:54:26+00:00,rratjeno
581,tidak_perlu ambil contoh desa pinggir kota masih tapi sekolah lebih ramai offline pada online siswa lebih bayar kendara pada beli paket data,positif,@mouldie_sep Gak usah ambil contoh di desa atau pinggiran. Di kota pun masih ada kok sekolah yang lebih rame offline daripada online karena siswanya lebih bisa bayar angkot daripada beli paket data.,2022-02-02 06:52:51+00:00,ayudeaa
582,anak pertama baru beberapa hari sekolah offline beberapa hari akan online,netral,"Si sulung baru beberapa hari sekolah offline, sepertinya beberpa hari lagi akan online lagi ... https://t.co/Rnb8XR7yvh",2022-02-02 06:48:47+00:00,SayurAsem
583,siapa stres sekolah offline,negatif,"Siapa yang stress Karna sekolah offline, sy",2022-02-02 06:37:08+00:00,imurjuliets
584,baru neng sekolah offline sekarang selang seling,positif,Baru juga seneng sekolah offline sekarang udah selang seling lagi https://t.co/7EWGUHkn1w,2022-02-02 06:28:25+00:00,itsmeenanaaaa
585,tidak_soal pakai buat kerja tugas online padahal sekolah offline,negatif,@lovesbypsh engga soalnya kepake buat ngerjain tugas online :( padahal udah sekolah offline,2022-02-02 06:27:30+00:00,svnghoen
586,tidak_iya sekolah offline ulang tetep online,netral,bisa ga ya sekolah offline tapi ulangan tetep online😭,2022-02-02 06:26:05+00:00,jaezlovs
587,hari saya sekolah offline,positif,@convomf hari ini aku sekolah offline 🤩🤙,2022-02-02 06:04:12+00:00,rubyxtn_
588,pusing banget lama lama sekolah offline,negatif,pusing banget lama lama sekolah offline..,2022-02-02 06:01:44+00:00,cookymarkie
589,memang sekolah offline opsi baik walaupun lelah banget tidak_ stres,positif,emang sekolah offline tuh opsi terbaik walaupun capek banget tapi seenggaknya gak begitu stres,2022-02-02 05:35:23+00:00,tinkerbaele
590,mau sekolah online tapi mau offline,netral,mau sekolah online lagi tapi mau offline :(,2022-02-02 05:34:25+00:00,agustdcember_
591,sekolah offline,negatif,@lybeyjeffry sekolah offline 😩,2022-02-02 04:50:49+00:00,shencxioting
592,offline ibu masih sekolah cuma memang jam pulang lebih cepat,netral,"@yangbikinkangen Masih offline nih buk, ini masih di sekolah cuma emang jam pulangnya lebih cepet",2022-02-02 04:21:56+00:00,luvyellow_
593,sekolah offline apa online,netral,masih sekolah offline apa sudah online lagi?,2022-02-02 04:19:35+00:00,yangbikinkangen
594,halo yang mau edisi time bimbing uji matematika sama daerah boja tidak_iya fe rb per temu sistem offline sekolah kalau yang mau komen iya teman terima kasih nes,netral,haloo ada yg mau part time membimbing KSN Matematika di SMA daerah Boja ndak yaa? fee nya 100rb per pertemuan. sistemnya offline di sekolah. kalau ada yg mau bisa komen yaa gaess. makasih -ness,2022-02-02 04:10:07+00:00,unnesmenfess
595,sekolah adik minggu dadak bikin online padahal awal minggu pakai selang seling offline online ada kasus positif,netral,"@IanSalim Sekolah adek gue minggu ini mendadak dibikin online, padahal awal minggu masih pake selang seling offline online. Pasti ada kasus positif.",2022-02-02 04:07:10+00:00,NovyAstria
596,tidak_bangun zoy bahkan di sekolah oh sekolah online aku kira kamu masuk offline zoy sama resah yak awal kimia,netral,"Bukannya bangun zoy, malah udah di sekolahan ini. Ohh sekolah online? Ku kira kmu masuk offline zoy, kok sama2 meresahkan yak, aku diawali kimia #ZeeLetter @A_ZeeJKT48",2022-02-02 03:22:33+00:00,itsolep131
597,sekolah offline jam kosong iri kan kamu,netral,"sekolah offline + jamkos, iri kan loe?😼",2022-02-02 03:18:30+00:00,gizell4s
598,padahal anak kuliah banyak tidak_offline offline gitu mengapa tidak_ kuota lembaga padahal anak sekolah yang dgituin anak kuliah,netral,padahal anak kuliah kebanyakan belum offline ptm gtu TAPI KENAPA GA KEBAGIAN KUOTA KEMENDIKBUD JUGAAA? AAAAA padahal anak sekolah aja yang dgituin anak kuliahan jangan 🥲,2022-02-02 03:02:14+00:00,xiaogaodian
599,kamu mas sekolah offline,netral,lu pada masi sekolah offline?,2022-02-02 02:59:35+00:00,bpkades
600,benar sekolah offline takut takut bawa virus rumah kalau bawa virus rumah bahaya anjing orang tua saya karena punya sakit,negatif,"sebenernya ini gue sekolah offline tuh takut, takut bawa virus ke rumah dan kalau bawa virus ke rumah bisa bahayain bangt kedua ortu gue karena mereka punya penyakit....",2022-02-02 02:38:46+00:00,living0life
601,sekolah offline dulu,netral,Sekolah offline dulu https://t.co/PG1F2AHid1,2022-02-02 02:35:12+00:00,thenewbadkid
602,semenjak sekolah full offline tidak_ terus orang orang abai prokes jalan luar negeri sana sini,negatif,"semenjak sekolah full offline ga si ini, trs orang orang pada abai prokes dan jalan ke luar negeri sana sini",2022-02-02 02:31:12+00:00,chohwanikuni
603,kata kepala sekolah tidak_apa offline soal virus tidak_ sekolah beliau tahu mana virus tidak_ sekolah,netral,@oolatte tapi kata kepala sekolahnya gapapa offline aja soalnya ini virusnya bukan dari sekolah???? beliau tau dari mana virusnya bukan dari sekolah,2022-02-02 01:59:58+00:00,intakasep
604,moga dapat mungkin karena sekolah offline,netral,"@tanyakanrl Moga aj dpt lagi, maybe juga Karna udh sekolah offline",2022-02-02 01:23:13+00:00,lixgfrnd
605,offline arti tinggal anak anak kondisi sehat lemah tidak_ solusi lebih aman,negatif,PTM berarti meninggalkan anak-anak dengan kondisi kesehatan lemah. Mengapa tidak ada solusi yang lebih aman?,2022-02-02 01:24:13+00:00,VulnerableChildren
606,anak anak guru risiko tular virus offline selamat tidak_arti,negatif,Anak-anak dan guru berisiko tertular virus saat PTM. Apakah keselamatan mereka tidak berarti?,2022-02-02 01:25:13+00:00,UnsafeSchools
607,pandemi jadi sejak lama tapi perintah tidak_siap solusi ajar lebih aman,negatif,"Pandemi sudah terjadi sejak lama, tapi kok pemerintah belum menyiapkan solusi pembelajaran yang lebih aman?",2022-02-02 01:27:13+00:00,UnpreparedGovernment
608,offline pandemi tunjuk ketidakpedulian hadap didik sehat generasi masa depan,negatif,PTM saat pandemi hanya menunjukkan ketidakpedulian kita terhadap pendidikan dan kesehatan generasi masa depan.,2022-02-02 01:29:13+00:00,EducationAtRisk
609,ajar ganggu offline tidak_aman ini benar benar putus bijak,negatif,Pembelajaran terganggu karena PTM yang tidak aman. Apakah ini benar-benar keputusan bijak?,2022-02-02 01:33:13+00:00,DisruptedLearning
610,tutup sekolah offline mohon teman sekolah adik orang kelas nyata jadi orang kelas jumat kemarin adik sakit batuk pilek demam pacar negatif untung sekarang offline di sekolah banyak positif covid tanggal masuk,negatif,"Tutup sekolah offline please. Temen sekolah adik w, 1 orang + dikelas eh jadi 15 orang + dikelas 😢
Jumat kmrn adik w sakit batuk pilek demam. Pcr negatif untungnya. Skrg masih offline karna diskolahnya banyak yang positif covid. Tp tanggal 5 udah masuk lagi 🥲",2022-02-02 01:51:19+00:00,uynghe94
611,tidak_ offline sekolah,negatif,@NyanLxxx_ Gak bisa aku offline di sekolah ini,2022-02-02 01:44:44+00:00,HeyyoBangchan
612,kalau sekolah anak sekarang pakai hybrid sistem online amp offline kelas waktu sama jadi balik bijak orang tua kalau tolak online kalau tuju datang sekolah,netral,"@GoDisko Klo di sekolah anakku skr pakai hybrid system (online&amp;offline class di wkt yg sama) jd balik ke kebijakan ortu, klo menolak bs online, klo setuju bs datang ke sekolah",2022-02-02 01:31:32+00:00,KaronArtic
613,teman sekolah seperti anjing gilir tanya jawab saya paling kenceng kalau offline gilir online begini susah banget hubung anjing,negatif,"Temen sekolah pada kayak asu. Giliran nanya jawaban ke gua paling kenceng kalo offline, giliran online gini pd susah bgt dihubungin, jancok.",2022-02-02 01:20:28+00:00,farnuzan
614,mau sekolah offline atulah cepetan,positif,pengen sekolah offline jg atulah.. @tarbak cepetan,2022-02-02 01:14:28+00:00,nadiabzll
615,anjing sekolah online ulang offline,negatif,ANJINK??!! SEKOLAH ONLINE ULANGANNYA OFFLINE,2022-02-02 01:09:13+00:00,jeonggharuu
616,sekolah offline tunda,positif,sekolah offline gw diunduuuuur😭,2022-02-02 01:06:04+00:00,ochateeaa
617,daerah rumah banyak banget kena offline sekolah adik juga tutup ada kena jadi pikir,negatif,"@collegemenfess akuu, daerah rumahku pada banyak bgt yg kena setelah offline, sekolah adek aku jg ditutup krn ada yg kena. Jadi kepikirann",2022-02-02 01:01:53+00:00,sanzrara
618,lalu jadi mau tidak_mau ikut berangkat sama buat sekolah offline sama urus itu guru goda tidak_ susah banget beri tahu buat datang sekolah nyata tiba tiba bahkan terima uji ,netral,"nah jadilah gw mau gamau harus ikut berangkat ke sma buat sekolah offline sm ngurus ini itu. guru2 pada nggodain krn sebelumnya gw susah bgt dibilangin buat dateng ke sekolah, eh tetiba malah keterima snm wkwkwk",2022-02-02 00:56:50+00:00,bubbledynxz
619,tuju kakak lebih suka sekolah offline pada pj,positif,"@chaeromark @schfess Setuju ka,lebih suka sekolah offline ketimbang pjj",2022-02-02 00:41:44+00:00,RuangBosennn06
620,padahal sekolah kampus mulai offline sidang offline aduh akan online gp sih kalau sidang online hehehehe tidak_mau kasus naik,netral,"Pdhl sekolah"", kampus"" dah mulai offline nih. Sidang w jg offline nihhh. Hadehh. Apakh akan kmbali onlinee? Tp gpp jg sie klo sidangnya online lg hehehehe. Tp gamau kasusnya naikkk 😭",2022-02-02 00:41:40+00:00,anakkucingg_
621,susah kalau pihak sekolah kampus kukuh minta offline,negatif,susah juga kalo pihak sekolah kampusnya kukuh minta offline,2022-02-02 00:28:32+00:00,scarwitchy
622,tidak_capek sekolah iya tertawa kan blended sekolah ada sampai rekam buat sekolah online tidak_ajar langsung sama sama temen offline yasudah guru juga malas protes masa melulu protes tertawa,netral,Tapi gak secapek sekolah lain yee wkwk. Kan blended. Sekolah lain ada yang sampe kudu rekaman buat yg sekolah online. Gak diajarin lgsg dan brg sm temen² offline. Tapi yaudahlah guru² lain juga pd males protes. Masa gue mulu yg protes? Wkwk.,2022-02-02 00:28:22+00:00,psntlycrs
623,sekolah itu lucu murid mau offline tidak_ bebas milih mereka tidak_sedia blended ajar cuma offline ajar kan bagaimana yak tertawa misal aja iya jadi mang bijak iya kalau visa blended aja blended memang guru bakal lelah,netral,"Sekolah gua tuh lucu. Murid yang mau PTM atau engga itu bebas milih, tapi mereka gak nyedian blended learning, cuma offline learning. Lah kan gimana yak? Wkwk. Semisal gue mah yaa jadi pemangku kebijakan yaa kalo visa blended mah blended. Emang gurunya bakal capek kok.",2022-02-02 00:28:22+00:00,psntlycrs
624,ardy sekolah online ardy sekolah offline,positif,"ardy sekolah online : 🥱😴😑😡😤
ardy sekolah offline : 😆☺️🥰🥳🙌🏻",2022-02-02 00:26:50+00:00,adinatasyaa
625,adik sekolah offline cuma bisa ikut trend nomor backpack hari,positif,Adek gue sekolah offline cuma biar bisa ikutan tren no backpack days😔😔,2022-02-02 00:25:40+00:00,LitchiBo
626,gelombang  covid tidak_ kena anak depan rumah sudah mulai demam lama takut banget sekolah offline,negatif,"gelombang ks 3 covid, jangan sampe kena lagi. anak2 depan rumah gw sdh pada mulai demam lama2, takut bgt. mereka sekolah offline",2022-02-02 00:24:28+00:00,pempekteri
627,akhir rasa sekolah offline hampir tahun,positif,akhirnya merasakan sekolah offline setelah hampir 2 tahun🤩,2022-02-02 00:34:11+00:00,agindulouvre
628,senang lihat wajah teman teman sekolah di kelas,positif,Begitu menyenangkan bisa melihat wajah teman-teman sekolah lagi di kelas!,2022-02-02 00:23:11+00:00,PembelajarBahagia
629,sekian lama ajar jaring akhir rasa suasana ajar lebih interaktif sekolah,positif,"Setelah sekian lama belajar daring, akhirnya bisa merasakan suasana belajar yang lebih interaktif di sekolah.",2022-02-02 00:24:11+00:00,BelajarLagi
630,offline beri sempat diskus langsung guru teman teman rasa segar sekali,positif,PTM memberikan kesempatan untuk berdiskusi langsung dengan guru dan teman-teman. Rasanya segar sekali! ,2022-02-02 00:34:11+00:00,SemangatBelajar
631,hadir offline hadir alam ajar lebih dan bangun paham kokoh,positif,Kehadiran PTM menghadirkan pengalaman pembelajaran yang lebih mendalam dan membangun pemahaman yang kokoh.,2022-02-02 00:45:11+00:00,BelajarBerkualitas
632,lihat semangat ajar anak anak offline buat makin semangat jadi guru,positif,Melihat semangat belajar anak-anak saat PTM membuatku semakin bersemangat menjadi guru.,2022-02-02 00:50:11+00:00,GuruInspiratif
633,sekolah balik online in semenjak hari lalu takut banget kalau bakal terus online baru offline bulan,positif,sekolah gue balik di online in semenjak 5 hari yg lalu takut bgt klo bakal seterusnya online... baru aja offline 1 bulan,2022-02-02 00:19:51+00:00,leomoibae
634,offline lagi sekolah,netral,@jyxzeo offline ini lagi sekolah,2022-02-02 00:17:06+00:00,leeszheo
635,orang orang offline iya sekolah corona naik langsung online najis,positif,"kok orang orang masih offline ya, sekolah gue corona naik langsung online lagi najis",2022-02-02 00:11:22+00:00,izhrine
636,semangat sekolah offline kadang suka banyak jam kosong,positif,"@maIdivecitys semangat sekolah offline, walau kadang suka banyak jamkosnya",2022-02-02 00:08:39+00:00,ccixarattess
637,pagi kakak zena sekolah masih offline kakak online sudah online masa padahal sudah nyaman offline sedih,positif,@Zenaiiro PAGI KAK ZENAA!! sekolah nya masih offline kah kak? ato udah onlen? aku udah onlen masa ╥﹏╥ padahal dah nyaman oplen menghikss,2022-02-02 00:07:38+00:00,calonanakfh
638,masuk sekolah kalian online offline,netral,"Aku Masuk Sekolah, Kalian Online atau Offline ?",2022-02-01 23:49:27+00:00,TimothyBiGWiN
639,nyata sekolah mulai balik online iya sekolah masih offline,netral,"eh sekolah” udah mulai balik online ya, kok sekolah aku masih offline..",2022-02-01 23:37:07+00:00,fxbeomybears
640,kata mau sekolah offline januari nyata undur pebruari terus undur sampai kapan,positif,"@convomf katanya mau sekolah offline januari, eh diundur ke february terus diundur lg sampe kapan 😃",2022-02-01 23:28:32+00:00,naqyeeon
641,sekolah ada rencana offline padahal malah begini jadi offline tapi,positif,"@convomf Sekolah gw ad rencana offline 100% pdahal, mlah gni, jd offline ny ttp 50%",2022-02-01 23:27:08+00:00,jeongeaJhyun
642,selamat pagi semangat sekolah offline saya,positif,met pagi. smngt sekolah offline nya aku 💪🏻,2022-02-01 23:25:32+00:00,kiddimor
643,sekolah bahkan tutup duluan positif waktu sekolah aku ada swab nyata murid positif balik pj ih enak offline,positif,"@sonzaemon sekolah2 lain malah udah ditutup duluan karena ada yg positif
pas sekolah ku adain swab, eh 2 murid positif
balik pjj deh :(

ih enak masih offline 😭",2022-02-01 23:16:58+00:00,ikuashushu
644,tidak_enak badan banget untung sekolah online kalau offline sudah tidak_masuk tertawa,netral,Gaenak badan bgt untung sekolah online kalo offline gw ud ga masuk ni wk,2022-02-01 23:16:12+00:00,moonberryil
645,oc sekolah offline iya,netral,@hiiksoogirl oc sekolah offline ya?,2022-02-01 23:08:47+00:00,ar_ksoo
646,heran di rep banyak ingin pj alas kalau offline lelah tugas jadi lebih banyak padahal dulu sekolah offline panjang hari taun hidup kan sekarang turut lama lingkung sekolah masih kondusif lebih baik offline pada pj,positif,"@schfess heran knp di rep banyak yg pgn pjj alesannya kl ptm capek tugasnya jd lebih banyak, pdhal dulu sekolah offline fullday bertaun2 juga masih pada idup kan sampe skrg? menurut gue selama lingkungan sekolahnya masih kondusif sih mending ptm drpada pjj.",2022-02-01 22:57:08+00:00,chaeromark
647,sekolah offline semangat,positif,@lawaklosetan Sekolah offline?? SEMANGATTT💘💘,2022-02-01 22:56:58+00:00,reberrlatte
648,seram iya full offline waktu kasus naik,negatif,Ngeri jg ya full luring pas kasus lagi naik2nya,2022-02-02 23:48:29+00:00,mybogeom
649,cuma dosen terus habis sakit tapi kampus tetep offline doa tidak_ iya kan kasus naik takut banget minta doa iya mau wb,negatif,"[cm] dosen aku + 😭 terus aku abis sakit juga, tapi kampus aku tetep luring, doain aku ga kenapa kenapa ya kan k4sus lagi naik, aku takut banget, minta doanya ya aku mau di 5w4b🥺",2022-02-02 23:43:47+00:00,collegemenfess
650,hybrid fokus buat mata kuliah banyak praktik offline besok senin mulai masuk,netral,"@collegemenfess Hybrid, difokusin buat matkul yang banyak praktiknya itu luring. Besok senin udah mulai masuk.",2022-02-02 23:39:38+00:00,lfn_ts
651,pagi teman moga hari lancar first hari offline semester harap untung,netral,"Morning guys, semoga hari ini lancar. First day luring di semester 4, wish me luck",2022-02-02 23:21:03+00:00,Cupcakegurlzz
652,orang surat edar tidak_ uang offline dosen tiba bilang offline kan lier,negatif,@aprilliouz Orang di surat edarannya gaada offline lahh dosen tbtb bilang luring kan lier,2022-02-02 22:44:12+00:00,busuniriyaaa
653,percaya waktu kuliah masuk semester tua mungkin ada di fase lebih baik daeing banding offline alias tua terus takut lihat banget goblok waktu offline,negatif,"Trust me, pas udah kuliah dan masuk semester tua mungkin akan ada aja di fase ""mending daeing aja dibandingin luring"" alias udah tua trus takut nanti keliatan bgt gobloknya pas luring TT",2022-02-02 22:42:23+00:00,LuckyManSeason2
654,mau jaring mau offline sekolah kerja sama bae,netral,Mau daring mau luring sekolah/kerja pun sama bae,2022-02-02 21:55:41+00:00,txtfromrama
655,aduh jadi takut uts fungsi offline soal waktu jaring susah paham tanya teman tidak_paham maksud offline,negatif,"Aduh jdi tkut w uts operasional luring.. Soal pas daring aja susah dipahami, tanya temen"" pd gak paham juga maksudnya, apalagi luring..",2022-02-02 21:30:57+00:00,awwcubanget
656,memang musim demam tinggi flu iya hari kapar mana senin kuli offline harus pindah,negatif,"ini emg lg musimnya demam tinggi + flu ya?😭 udh 3 hari tepar, mna senin ngulinya luring lg hrs pindahan😩",2022-02-02 20:26:22+00:00,hwjinone
657,siap offline apa anjing,netral,persiapan luring apa co,2022-02-02 19:07:17+00:00,holysugarr
658,ehiya baru sadar maksud juga offline kok  aduh itu sus nanti tengah jaring kaya percuma tidak_ hybrid offline juga,netral,@leviosaluzt ehiya gue jg baru sadar😭 tp maksud gue juga luring ko wkwkwkwk😭 aduh gue tuh sus nya nnti dipertengahan daring lagi… kaya percuma ga sihh hybrid atau luring juga 🥲,2022-02-02 18:53:58+00:00,giveajay
659,wei tipo berani offline iya begitu nekat banget padahal covid sampai level tinggi se provinsi kan mau berangkat kos jadi takut,negatif,"@todayistojay Weii tipo, di nekatin luring😭 

iyakan kenapa gitu nekat bgt padahal covidnya udah sampe level tertinggi se provinsi kan yang mau berangkat kost jadi takodd😭",2022-02-02 18:44:27+00:00,xzclandestine
660,ajar tatap muka tiap hari masa pandemi sangat lelah baik cara fisik maupun mental,negatif,"Belajar tatap muka setiap hari di masa pandemi ini sangat melelahkan, baik secara fisik maupun mental.",2022-02-02 18:30:27+00:00,wearyteacher
661,aku tidak_ bayang bagaimana beri ajar efektif kondisi offline ini,negatif,Saya tidak bisa membayangkan bagaimana memberikan pelajaran yang efektif dalam kondisi PTM saat ini.,2022-02-02 18:22:27+00:00,exhaustedstudent
662,rasa aku ajar tidak_tuju ini risiko papar virus tambah beban pikir aku,negatif,"Rasanya saya belajar tanpa tujuan saat ini, dan risiko terpapar virus hanya menambah beban pikiran saya.",2022-02-02 18:23:27+00:00,upsetteacher
663,sekolah jadi tempat aman anak anak saat justru timbul khawatir besar,negatif,"Sekolah seharusnya menjadi tempat yang aman bagi anak-anak, namun saat ini justru menimbulkan kekhawatiran yang besar.",2022-02-02 18:30:27+00:00,disheartenedstudent
664,cukup lelah hadap pandemi dan hadap risiko papar virus sekolah buat aku makin beban,negatif,"Sudah cukup melelahkan menghadapi pandemi ini, dan harus menghadapi risiko terpapar virus di sekolah juga membuat saya semakin terbebani.",2022-02-02 18:40:27+00:00,displeasedparent
665,iya moga sosial baik tidak_waktu offline,positif,@convomf oh iyaaa semoga w bisa bersosialisasi dengan baik deh seengganya pas luring,2022-02-02 18:05:23+00:00,cosxmogyral
666,balik ini kantor butuh offline omicron tetep mau serang kh,netral,kebalik hrsnya ni kantor gw butuh luring omicron tetep mau nyerang kh,2022-02-02 18:01:12+00:00,telorcepIog
667,omicron vaksin tidak_sukses correct me if i m wrong kantor tetep mau offline kh,netral,ni omicron vaksinnya pd ga mempan (cmiiw) kantor gw tetep mau luring kh,2022-02-02 17:56:28+00:00,telorcepIog
668,khawatir banget mau offline,negatif,@afrkml Khawatir bgt mau luring,2022-02-02 17:51:00+00:00,daisiesevaa
669,ugm fes uji ugm sistem bagaimana iya mahasiswa angkat baru mau offline semester dan banyak pikir sama uts uji apakah keri uji ugm,netral,"ugm_fess ujian di UGM itu sistemnya gmn yaa? aku mhs angkatan 20 baru mau luring semester ini dan lg overthinking sama uts uasnya nanti🥲
apakah semengerikan itu ujian di ugm??",2022-02-02 17:42:42+00:00,UGM_FESS
670,waktu sekolah turut enak kalau offline tidak_tiap temu tugas hari,positif,@collegemenfess 11 12 kayak pas sekolah menurutku. enaknya kalo luring tuh ga setiap pertemuan ada tugas harian,2022-02-02 16:55:10+00:00,uaintich
671,kalau offline iya suasana duduk kursi kelas dengar dosen tidak_ rebah,netral,"@collegemenfess kalo luring ya suasananya duduk di kursi kelas, dengerin dosen, tapi ga sambil rebahan",2022-02-02 16:54:52+00:00,kenchicfried
672,bagus bagaimana offline iya moga moga tetep dapat hasil muas,netral,"bagus...
gimana nanti luring ya? bismillah semoga tetep bisa dapet hasil yang memuaskan 🙏😭",2022-02-02 16:52:29+00:00,collegemenfess
673,cuma suasana kuliah offline bagaimana teman lebih pacu hormon iya lama semester kuliah jaring sering banget dengar online tidak_nyala kamera rebah bahkan tidak_sepenuh dengar jelas dosen rekam ini lai saya justru cont,positif,"[cm] suasana kuliah luring gimana sih guys? lebih memacu adrenalin ya? karena aku selama 3 semester kuliah daring, seringgg banget dengerin gmeet tanpa oncam sambil rebahan bahkan ga sepenuhnya dengerin penjelasan dosen dan ngerecord 🙂 tapi ni lai i p k aku justru (cont)",2022-02-02 16:52:29+00:00,collegemenfess
674,surat buat offline tidak_ offline jaring tidak_tahu ,netral,"@convomfs Aku surat buat luring aja blm ada, luring daring juga gatau wkwkkwkwkkwkkwk",2022-02-02 16:41:34+00:00,jjinmi_ya1412
675,moga ada iya tuhan soal tetep jaring paling cuma mata kuliah yang offline gantung dosen tidak_kuat beli kuota,positif,@collegemenfess semoga masih ada ya Allah 🥺 soalnya tetep daring paling cuma 1 matkul aja yg luring itupun tergantung dosennya lagi. ga kuat beli kuota 🥲,2022-02-02 16:37:22+00:00,chaerbloom
676,tidak_usah offline bu kalau cuma satu mata kuliah praktek aja,negatif,gausah 100% luring atuh bu kalo cuma satu matkul praktek doang mah;(,2022-02-02 16:33:43+00:00,rebelli9n
677,kan jadi mau nga mau iya mau hari lalu resmi rantau buat kuliah offline rindu rumah parah tiap mau makan selalu menang inget orang rumah habis sholat menang mau bobo menang bangun bobo menang inget rumah,negatif,"@collegemenfess kan? Jadi mau nga mau ya harus mau. Aku 2 hari yg lalu resmi merantau buat kuliah luring. Homesick parah, tiap mau makan slalu nangis inget orang rumah, abis sholat nangis, mau bobo nangis, bangun bobo juga nangis inget rumah 😭😭😭",2022-02-02 16:24:27+00:00,waitingforubby
678,jurus iya full offline fakultas blended,netral,ini fdk doang yaa yg full luring? fakultas lain blended?,2022-02-02 16:17:18+00:00,hallosemuaaaaaa
679,dih mati kelas offline puasa darah tikus asa lihat sirup marjan tidak_tertawa,negatif,"@klorosom dih mampus kelas b luring sambil puasa, darah tikus berasa liat sirup marjan gaksi xixixi",2022-02-02 16:12:37+00:00,markshjellow
680,orang balik jaring ini bahkan mau uji inhal offline,negatif,"org"" pada balik daring lg, ini malah mau ujian inhall luring😭",2022-02-02 16:08:32+00:00,kleejungie
681,kalau tidak_salah tadi full offline iya,netral,@sentimeter29 dhh kalau ga salah tadinya full luring ya?,2022-02-02 15:48:51+00:00,starlightenbbh
682,kalau suka masuk offline bohong,negatif,"@schfess kalo aku sukanya masuk/ luring tapii

boong",2022-02-02 15:45:45+00:00,callmeyanplz
683,aduh iya sen lebih baik jaring kalau offline takut kenapa di kampus ramai kemarin yang kena kan lebih baik kalau mending luringnya dept juga tidak_jelas tahu kasus tembus terus tidak_ uang bijak apa,negatif,"@sentimeter29 haduh iya sen mending daring aja, kalau luring takutnya kenapa-napa, apalagi di kampus rame dan kemaren ada yang kena juga kan, mending kalau udah mendingan deh luringnya. lagian dept kita jg gajelas, udah tau kasusnya nembus 17k terus gaada kebijakan apa2.",2022-02-02 15:40:35+00:00,starlightenbbh
684,ingat aja talah offline lak tidak_lama,negatif,Titenono ae talah luring e lak ga suwe,2022-02-02 15:40:11+00:00,awonderwhy
685,preferensi masing kamu kalau sendiri agak susah yak cari tempat kerja kelompok buat program pagi tambah energi sama internet bisa tidur enak kursi kursi kalau lelah terus pagi bangun sama satpam jam waktu banget tidak_kuliah offline dulu,netral,"@itbfess preferensi masing2 aja nder. Klo aku sendiri sih agak susah yak nyari tempat yg bisa kerkel ngoding sampe pagi, bisa ngecas sama wifi, bisa tidur enak di kursi sofa klo capek, trus paginya dibangunin sama satpamnya jam 6 pas banget sblm kuliah luring dulu.",2022-02-02 15:39:48+00:00,lahkokkerja
686,fes mau tanya kalau waktu libur begini gedung fakultas buka tidak_ terus kalau mau masuk cuma lihat ruang boleh tidak_semester depan yang offline tidak_tahu ruang sedih kakak,netral,"-11fess mau nanya, kalo pas liburan gini tuh gedung fakultas buka gak si? Terus kalo kita mau masuk cuma liat2 ruanganya gitu boleh nggak? Sem depan ada yang luring tapi belom tau ruangan2nya huhu. Tia kak",2022-02-02 15:30:21+00:00,UNSfess_
